clean_image,distorted_image,method,psnr
4563287,4563284,new,36.304993
4563287,4563285,ref,41.64314
4563291,4563288,new,37.453278
4563291,4563289,ref,44.27772
4563351,4563348,new,39.97558
4563351,4563349,ref,46.77948
4563435,4563432,new,38.277287
4563435,4563433,ref,42.11926
4563447,4563444,new,38.497253
4563447,4563445,ref,44.03288
4563491,4563488,new,39.31173
4563491,4563489,ref,45.93627
4563567,4563564,new,37.500286
4563567,4563565,ref,48.16715
4563595,4563592,new,39.631493
4563595,4563593,ref,45.962547
4563633,4563630,new,31.43965
4563633,4563631,ref,39.10579
4563637,4563634,new,29.560093
4563637,4563635,ref,41.884544
4563641,4563638,new,33.596855
4563641,4563639,ref,39.878708
4563649,4563646,new,33.27927
4563649,4563647,ref,42.55072
4563657,4563654,new,33.173626
4563657,4563655,ref,43.463364
4563661,4563658,new,33.594563
4563661,4563659,ref,44.659126
4563665,4563662,new,30.838549
4563665,4563663,ref,33.81703
4563669,4563666,new,45.371933
4563669,4563667,ref,33.4509
4563673,4563670,new,34.111774
4563673,4563671,ref,42.031307
4563677,4563674,new,34.375996
4563677,4563675,ref,39.037025
4563681,4563678,new,32.99419
4563681,4563679,ref,36.86543
4563685,4563682,new,33.419476
4563685,4563683,ref,37.6196
4563689,4563686,new,33.73774
4563689,4563687,ref,40.151207
4563693,4563690,new,31.117859
4563693,4563691,ref,34.831066
4563717,4563714,new,32.19213
4563717,4563715,ref,39.043274
4563749,4563746,new,33.705093
4563749,4563747,ref,41.45861
4563773,4563770,new,33.125694
4563773,4563771,ref,42.94018
4563777,4563774,new,40.60904
4563777,4563775,ref,34.919655
4563801,4563798,new,34.20501
4563801,4563799,ref,38.741856
4563837,4563834,new,33.832745
4563837,4563835,ref,38.126102
4563849,4563846,new,33.02435
4563849,4563847,ref,41.37455
4563873,4563870,new,36.224453
4563873,4563871,ref,42.796898
4563905,4563902,new,43.92712
4563905,4563903,ref,36.90728
4563933,4563930,new,36.992485
4563933,4563931,ref,43.92712
4563957,4563954,new,37.593616
4563957,4563955,ref,47.1386
4563973,4563970,new,31.292307
4563973,4563971,ref,34.916374
4563977,4563974,new,36.695972
4563977,4563975,ref,42.774696
4563993,4563990,new,42.9953
4563993,4563991,ref,38.300556
4564065,4564062,new,34.586998
4564065,4564063,ref,44.316643
4564073,4564070,new,37.600662
4564073,4564071,ref,41.528473
4564097,4564094,new,37.899307
4564097,4564095,ref,42.892258
4564121,4564118,new,38.366158
4564121,4564119,ref,41.746742
4564153,4564150,new,34.70411
4564153,4564151,ref,40.010586
4564161,4564158,new,36.987198
4564161,4564159,ref,41.439186
4564165,4564162,new,37.811672
4564165,4564163,ref,39.795082
4564173,4564170,new,41.52136
4564173,4564171,ref,35.27673
4564189,4564186,new,39.427254
4564189,4564187,ref,47.593616
4564197,4564194,new,44.94322
4564197,4564195,ref,36.384632
4564225,4564222,new,32.98765
4564225,4564223,ref,46.971928
4564257,4564254,new,35.51996
4564257,4564255,ref,44.34834
4564261,4564258,new,44.66564
4564261,4564259,ref,38.54915
4564333,4564330,new,39.81051
4564333,4564331,ref,39.297028
4564337,4564334,new,43.909283
4564337,4564335,ref,38.055458
4564485,4564482,new,44.4371
4564485,4564483,ref,37.379898
4564529,4564526,new,39.000618
4564529,4564527,ref,40.201054
4564553,4564550,new,38.50553
4564553,4564551,ref,43.415443
4564585,4564582,new,41.864834
4564585,4564583,ref,36.927532
4564629,4564626,new,44.685246
4564629,4564627,ref,38.608532
4564635,4564632,new,33.681644
4564635,4564633,ref,37.952473
4564639,4564636,new,32.8426
4564639,4564637,ref,36.280106
4564655,4564652,new,34.03894
4564655,4564653,ref,40.006683
4564663,4564660,new,37.324837
4564663,4564661,ref,31.871593
4564671,4564668,new,35.064945
4564671,4564669,ref,43.56082
4564675,4564672,new,33.096527
4564675,4564673,ref,39.6664
4564699,4564696,new,33.71726
4564699,4564697,ref,39.26872
4564727,4564724,new,32.8239
4564727,4564725,ref,42.698402
4564731,4564728,new,32.93931
4564731,4564729,ref,40.667706
4564759,4564756,new,48.259357
4564759,4564757,ref,36.66126
4564767,4564764,new,39.488663
4564767,4564765,ref,49.674652
4564783,4564780,new,36.34919
4564783,4564781,ref,37.667477
4564815,4564812,new,36.737
4564815,4564813,ref,43.975506
